a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight,Activity_value
4,3,7,0.81784421,4.8039999,-7.46311,5,486.59198,0.089000002
6,5,6,0.90084904,-0.19,-0.62254,1,258.27399,0.090000004
8,7,12,0.88516271,1.108,-1.82679,1,416.41098,0.092
6,5,8,0.82652491,2.2090001,-2.4028001,2,362.42599,0.092
5,5,12,0.83465773,3.3180001,-5.7039399,2,444.552,0.1
7,7,11,0.89084852,0.79100001,-1.32376,1,372.358,0.1
4,3,5,0.85286695,3.1129999,-5.3817301,4,402.51498,0.1
4,2,3,0.93612856,0.74599999,-1.78344,2,270.30899,0.1
7,6,11,0.84573042,1.518,-3.1221001,3,445.51599,0.1
5,3,11,0.80053711,3.7739999,-4.20994,3,430.54498,0.1
3,3,9,0.91615355,2.447,-3.88586,1,331.43201,0.1
4,3,10,0.88287848,2.25,-3.6412599,1,343.46799,0.1
6,7,11,0.85913956,1.332,-2.1375,2,391.42398,0.103
6,4,9,0.84394646,2.096,-2.7021699,2,349.383,0.11
6,6,11,0.83437985,2.3510001,-3.7254801,2,402.44699,0.11
5,2,6,0.82368582,2.957,-7.11553,4,417.48898,0.112
7,7,12,0.84236318,2.872,-4.6469898,3,482.47299,0.117
3,3,2,0.81735581,3.47,-4.7797799,2,335.46799,0.118
7,7,11,0.85848945,2.3239999,-4.0699701,2,440.47699,0.122
3,2,3,0.89595979,1.263,-1.70443,2,243.327,0.12589
4,2,2,0.95703042,-0.37400001,-1.1595401,2,258.298,0.12589
4,2,6,0.85355288,1.923,-3.07497,2,321.397,0.13
3,3,10,0.83500797,3.793,-5.6104598,1,369.54999,0.13
7,7,12,0.83593029,3.2420001,-4.8487601,3,496.5,0.138
3,3,7,0.86171067,1.194,-2.3332601,1,253.32199,0.14
5,4,9,0.84054548,4.2859998,-4.6953402,3,419.54199,0.14
3,3,7,0.86171067,1.194,-2.3332601,1,253.32199,0.14
9,7,12,0.87237287,2.5769999,-4.6020899,4,526.48199,0.147
4,4,11,0.87934321,1.705,-3.90734,2,425.57401,0.147
4,2,11,0.79781508,1.681,-4.3530898,3,421.49698,0.15000001
6,6,11,0.81074673,4.9380002,-7.6598902,5,524.573,0.15000001
8,7,15,0.88937527,2.2909999,-4.5848598,3,578.58801,0.15800001
3,2,3,0.91557628,0.82099998,-1.50266,2,229.3,0.15849
8,7,13,0.84837115,2.826,-4.6973701,3,512.49896,0.16
4,4,8,1.0090208,2.0337601,-3.17974,1,337.31799,0.16
4,3,4,0.88689613,1.4809999,-3.53457,3,334.396,0.16500001
4,4,12,0.8025167,5.3249998,-6.6372299,2,456.60699,0.175
3,3,2,0.81735581,3.47,-4.7797799,2,335.46799,0.175
4,2,17,0.76771605,5.6139998,-7.6335802,4,562.66602,0.18000001
6,3,10,0.83678609,4.921,-7.34512,5,532.617,0.183
4,3,7,0.83018678,3.3959999,-5.1800699,3,412.50998,0.183
6,6,11,0.82703513,2.789,-3.9272499,2,416.474,0.191
5,1,5,0.76987195,1.767,-2.1135001,5,420.561,0.193
6,4,15,0.85614389,3.576,-5.0222602,3,523.71899,0.2
3,2,4,0.928195,0.31099999,-1.07572,1,203.26199,0.2
5,3,11,0.79504395,3.5539999,-4.4654002,3,438.52399,0.2
3,3,10,0.83500797,4.0710001,-5.4224501,1,369.54999,0.2
5,3,14,0.82077444,2.4360001,-3.42349,2,418.48999,0.20999999
3,3,11,0.84384584,3.5090001,-5.0952401,1,355.52301,0.20999999
7,6,11,0.84573042,1.518,-3.1221001,3,445.51599,0.21878
5,2,11,0.81989777,2.45274,-3.44171,2,377.43698,0.22
5,2,11,0.83829176,2.904,-4.70365,3,463.595,0.22
4,3,11,0.80142242,5.3039999,-7.4514899,4,502.63498,0.229
7,8,10,0.90438521,0.55000001,-1.41189,2,397.36798,0.23999999
5,3,13,0.81496197,2.8269999,-4.1471901,3,452.50699,0.23999999
3,3,9,0.86429387,2.592,-4.0647998,1,327.46899,0.23999999
3,3,9,0.92944568,2.8859999,-4.32517,1,347.88699,0.25
4,3,4,0.87162375,2.45,-4.16328,4,374.461,0.25299999
7,6,15,0.836348,2.865,-4.8715801,3,541.66901,0.25299999
6,5,9,0.81926286,3.1689999,-3.4704001,3,402.491,0.25999999
4,3,11,0.98945779,3.69276,-4.78021,1,397.43799,0.25999999
3,3,10,0.82693434,4.6500001,-5.74966,1,383.577,0.25999999
8,7,18,0.86933655,3.789,-5.81707,3,620.66901,0.27900001
3,2,8,0.82944906,5.1960001,-6.8659801,3,421.62601,0.28
3,3,9,1.0173694,3.092,-4.6812701,1,392.33798,0.28
3,3,10,0.83445263,4.2540002,-6.0172601,2,389.54001,0.28
5,5,13,0.92530042,3.1577599,-5.1816802,2,484.495,0.28
4,3,6,0.84462237,2.8440001,-5.0367298,4,410.49399,0.28299999
4,3,7,0.83768922,2.8169999,-4.85286,3,398.483,0.28400001
4,3,12,0.842255,3.6129999,-5.1434202,2,419.56601,0.28999999
5,3,9,0.83503067,0.88,-2.5682099,2,346.383,0.30000001
2,1,6,0.81910187,2.0599999,-3.05721,1,237.323,0.30000001
6,1,16,0.78655559,5.3417401,-6.7463899,4,588.70099,0.30000001
5,5,14,0.81597161,4.52,-5.5464301,2,486.633,0.30000001
4,3,10,0.87936795,1.954,-3.9418099,1,338.452,0.30000001
3,3,10,0.89805543,2.8859999,-4.6122799,1,359.535,0.30000001
3,3,10,0.84384584,3.437,-5.0952401,1,355.52301,0.30000001
5,3,10,0.94124341,1.492,-3.73157,1,391.53299,0.30000001
3,3,8,1.0215324,2.49476,-3.8366699,1,339.30899,0.30000001
4,3,10,0.81169534,4.6030002,-6.9029899,4,476.59698,0.30399999
4,3,7,0.83768922,2.8169999,-4.85286,3,398.483,0.30599999
4,3,10,0.81086665,4.7410002,-6.35287,3,454.591,0.31900001
3,3,10,0.93817562,2.2290001,-4.3811102,1,358.439,0.31999999
7,6,8,0.90237832,-1.005,-0.18846001,1,287.31598,0.32359001
5,3,10,0.82652491,0.75300002,-2.30983,2,360.41,0.33000001
7,5,15,0.82479596,3.0739999,-4.2261901,3,516.57501,0.33884001
3,3,11,0.82693434,4.513,-5.6242199,1,383.577,0.34
3,3,10,0.97483373,3.22876,-4.6474299,1,381.439,0.34
4,3,11,0.87154716,2.5910001,-3.9684701,1,357.495,0.34
3,4,6,0.86894459,2.2049999,-3.1938901,2,292.35901,0.36307999
3,3,11,0.85024667,3.904,-5.37359,2,405.539,0.37
6,3,10,0.83678609,4.921,-7.34512,5,532.617,0.37799999
7,7,12,0.88116878,2.402,-4.45366,3,488.50101,0.38499999
7,6,14,0.87772715,0.84399998,-2.80194,2,449.45999,0.38905001
3,4,8,0.97332019,2.5427599,-3.8315899,2,360.35599,0.40000001
3,2,8,0.82963532,4.7199998,-5.9375801,2,395.58798,0.41
7,7,13,0.81930465,4.8319998,-7.07337,4,558.57098,0.414
3,3,12,0.81952989,4.9549999,-6.1394401,1,397.604,0.41999999
3,3,7,0.86171067,1.4579999,-2.4586999,1,253.32199,0.42658001
6,5,8,0.8443889,1.325,-1.9992599,2,334.37198,0.43000001
3,3,11,0.81952989,4.8709998,-5.8259902,1,397.604,0.43000001
7,5,10,0.87360245,1.079,-1.88702,2,398.396,0.43652001
4,1,13,0.78009325,4.1589999,-5.2049398,3,466.578,0.44
6,5,4,0.93510145,-0.15899999,-0.55487001,2,267.237,0.45708999
3,3,11,0.81996256,4.2880001,-6.0408802,2,417.59399,0.46000001
4,2,11,0.81438309,4.671,-5.69034,3,455.57498,0.46000001
3,3,2,0.81735581,3.431,-5.0932298,2,335.46799,0.47
7,7,12,0.87727213,3.464,-5.3812799,3,516.91797,0.47299999
7,7,12,0.83593029,3.168,-5.1209102,3,496.5,0.498
3,3,4,0.85908711,2.006,-3.1197,3,318.397,0.5
7,6,16,0.84784281,3.4530001,-5.1919198,3,557.66797,0.50599998
6,1,15,0.79720193,3.8947401,-5.3056998,3,526.63,0.51999998
3,3,10,0.8567704,2.2090001,-3.51829,1,356.51099,0.51999998
6,4,11,0.82701081,1.4,-3.66606,3,438.47998,0.54000002
5,4,9,0.81532049,3.1589999,-4.4840498,4,449.50699,0.54000002
5,4,9,0.85945147,2.904,-3.55141,2,365.44998,0.57999998
5,2,10,0.85112959,1.862,-3.76597,2,427.56598,0.63999999
