a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight,Activity_value
7,5,14,0.83840185,2.6240001,-3.8364,1,399.48801,1
3,3,11,0.81996256,4.2880001,-6.0408802,2,417.59399,1
3,3,11,0.81425792,5.2140002,-7.44484,3,453.62698,1
4,3,12,0.842255,3.6129999,-5.1434202,2,419.56601,1
4,3,7,0.87482512,2.707,-5.6374602,3,416.522,1
6,5,8,0.81926286,2.487,-3.3986499,3,396.44299,1
4,3,8,0.83018678,2.641,-4.6093402,3,412.50998,1
5,3,8,0.85305858,1.895,-4.4229202,3,414.48199,1
4,3,8,0.86592501,2.7950001,-5.5193801,3,430.54898,1
4,3,9,0.82325602,2.7290001,-4.4912601,3,426.53699,1
4,3,8,0.83018678,2.905,-4.7347798,3,412.50998,1
5,3,7,0.85305858,2.533,-4.99365,3,414.48199,1
5,3,8,0.85305858,2.1589999,-4.5483599,3,414.48199,1
4,3,9,0.84722781,1.633,-3.2794299,2,364.466,1
4,3,7,0.83768922,2.8169999,-4.85286,3,398.483,1
4,3,8,0.86592501,2.5309999,-5.39394,3,430.54898,1
5,3,7,0.86165488,2.0710001,-4.66644,3,400.45499,1
4,3,8,0.85684919,1.809,-3.5229499,2,350.439,1
5,3,7,0.85305858,2.533,-4.99365,3,414.48199,1
5,3,8,0.84512806,2.6210001,-4.8755698,3,428.509,1
7,7,16,0.84222937,2.8110001,-4.9563198,3,556.68396,1
7,6,15,0.836348,2.865,-4.8715801,3,541.66901,1
7,6,15,0.836348,2.865,-4.8715801,3,541.66901,1
4,3,10,0.87230599,1.7589999,-3.8225999,2,410.55899,1
5,4,7,0.87795615,1.244,-2.8930299,2,351.427,1
7,6,16,0.84784281,3.4530001,-5.1919198,3,557.66797,1
5,3,6,0.89254552,0.926,-3.405,3,391.448,1
4,4,11,0.87934321,1.705,-3.90734,2,425.57401,1
5,3,6,0.88210309,1.368,-3.60677,3,405.47501,1
4,3,10,0.87230599,1.7589999,-3.8225999,2,410.55899,1
5,3,9,0.84340835,1.85,-3.4975901,2,393.508,1
4,3,11,0.839333,3.7190001,-6.24898,3,486.65698,1
5,3,9,0.86612624,1.67,-3.58337,2,407.491,1
5,3,7,0.88609099,0.71499997,-3.05439,2,379.43698,1
5,3,7,0.86160988,0.89499998,-2.96861,2,365.45398,1
5,3,6,0.85922456,1.548,-3.5209899,3,391.492,1
5,3,6,0.86880881,1.1059999,-3.3192201,3,377.465,1
3,3,7,0.86171067,1.194,-2.3332601,1,253.32199,1
5,5,8,0.87757474,0.58499998,-1.48031,2,354.34299,1
